URS0000000183	5SRRNADB	B02411	853	rRNA	
URS000000375F	5SRRNADB	B01828	208216	rRNA	
URS00000040A7	5SRRNADB	B00777	1340	rRNA	
URS0000004553	5SRRNADB	B00854	500	rRNA	
URS000000484D	5SRRNADB	E00159	4903	rRNA	
URS0000004D13	5SRRNADB	B01681	91844	rRNA	
URS000000784F	5SRRNADB	B01161	35788	rRNA	
URS000000784F	5SRRNADB	B01682	783	rRNA	
URS000000784F	5SRRNADB	B01892	781	rRNA	
URS000000784F	5SRRNADB	B04376	35793	rRNA	
URS0000007C49	5SRRNADB	B02003	1199245	rRNA	
URS000000818B	5SRRNADB	B01155	33045	rRNA	
URS0000009056	5SRRNADB	B00379	1044	rRNA	
URS0000009453	5SRRNADB	M00184	3656	rRNA	
URS0000009764	5SRRNADB	B01774	266779	rRNA	
URS0000009DF5	5SRRNADB	B01571	316279	rRNA	
URS000000B687	5SRRNADB	B01517	408	rRNA	
URS000000BC22	5SRRNADB	B00147	161493	rRNA	
URS000000BC22	5SRRNADB	B00149	447217	rRNA	
URS000000C052	5SRRNADB	B04346	29449	rRNA	
URS000000E251	5SRRNADB	B01849	551760	rRNA	
URS000000E367	5SRRNADB	B02105	698389	rRNA	
URS000000E4C5	5SRRNADB	B00437	2350	rRNA	
URS000000E6CE	5SRRNADB	B02568	1290	rRNA	
URS000000E6CE	5SRRNADB	B05654	1388318	rRNA	
URS000000E851	5SRRNADB	B00053	2104	rRNA	
URS000000F5F4	5SRRNADB	A00130	44930	rRNA	
URS000000FF53	5SRRNADB	B03108	713008	rRNA	
URS0000010B62	5SRRNADB	B01433	668	rRNA	
URS0000010BE2	5SRRNADB	B01750	28068	rRNA	
URS00000114B5	5SRRNADB	B01678	367806	rRNA	
URS0000011DCE	5SRRNADB	A00054	2223	rRNA	
URS0000012172	5SRRNADB	B01102	416344	rRNA	
URS000001610A	5SRRNADB	B00454	53399	rRNA	
URS000001610A	5SRRNADB	B00456	717785	rRNA	
URS0000016644	5SRRNADB	B03345	1207039	rRNA	
URS000001693F	5SRRNADB	B01375	380021	rRNA	
URS000001693F	5SRRNADB	B03809	47879	rRNA	
URS00000177E4	5SRRNADB	B02938	77133	rRNA	
URS00000177E4	5SRRNADB	B02940	512312	rRNA	
