URS000000AB5A	SNODB	1	9606	snoRNA	
URS000000D517	SNODB	2	9606	snoRNA	
URS000000DAFC	SNODB	4	9606	snoRNA	
URS0000010A7C	SNODB	3	9606	snoRNA	
URS0000013F57	SNODB	5	9606	snoRNA	
URS0000018549	SNODB	6	9606	snoRNA	
URS000002084A	SNODB	7	9606	snoRNA	
URS000002951F	SNODB	9	9606	snoRNA	
URS000002FDBC	SNODB	8	9606	snoRNA	
URS00000335D1	SNODB	10	9606	snoRNA	
URS0000034D55	SNODB	11	9606	snoRNA	
URS000004A26B	SNODB	12	9606	snoRNA	
URS000004E6C0	SNODB	13	9606	snoRNA	
URS000004E6C0	SNODB	14	9606	snoRNA	
URS000004F833	SNODB	15	9606	snoRNA	
URS0000056589	SNODB	2033	9606	snoRNA	
URS0000056589	SNODB	2034	9606	snoRNA	
URS000005BADB	SNODB	16	9606	snoRNA	
URS0000064325	SNODB	17	9606	snoRNA	
URS0000066733	SNODB	19	9606	snoRNA	
URS0000069864	SNODB	20	9606	snoRNA	
URS000006D2A0	SNODB	23	9606	snoRNA	
URS0000080E9E	SNODB	21	9606	snoRNA	
URS000008230A	SNODB	18	9606	snoRNA	
URS000008DC88	SNODB	22	9606	snoRNA	
URS000008F76B	SNODB	26	9606	snoRNA	
URS00000A3335	SNODB	27	9606	snoRNA	
URS00000AFC24	SNODB	25	9606	snoRNA	
URS00000B589B	SNODB	24	9606	snoRNA	
URS00000B589B	SNODB	28	9606	snoRNA	
URS00000B589B	SNODB	29	9606	snoRNA	
URS00000B589B	SNODB	30	9606	snoRNA	
URS00000B589B	SNODB	31	9606	snoRNA	
URS00000B589B	SNODB	32	9606	snoRNA	
URS00000B589B	SNODB	33	9606	snoRNA	
URS00000C304D	SNODB	34	9606	snoRNA	
URS00000CC074	SNODB	35	9606	snoRNA	
URS00000D55EA	SNODB	37	9606	snoRNA	
URS00000DE3E2	SNODB	36	9606	snoRNA	
URS00000E9A93	SNODB	38	9606	snoRNA	
URS00000F2AEF	SNODB	39	9606	snoRNA	
URS00000F2AEF	SNODB	40	9606	snoRNA	
URS00000F2AEF	SNODB	41	9606	snoRNA	
URS00000F2AEF	SNODB	42	9606	snoRNA	
URS00000F4646	SNODB	43	9606	snoRNA	
URS00000F8A5F	SNODB	44	9606	snoRNA	
URS00000F9EBE	SNODB	45	9606	snoRNA	
URS0000104326	SNODB	46	9606	snoRNA	
URS000011E0DE	SNODB	47	9606	snoRNA	
URS000011E0DE	SNODB	48	9606	snoRNA	
URS0000130A5F	SNODB	49	9606	snoRNA	
URS0000147674	SNODB	52	9606	snoRNA	
URS0000148398	SNODB	50	9606	snoRNA	
URS000014DCD2	SNODB	51	9606	snoRNA	
URS000014FF3E	SNODB	53	9606	snoRNA	
URS000015A7CF	SNODB	55	9606	snoRNA	
URS000015F227	SNODB	54	9606	scaRNA	
URS0000164B86	SNODB	57	9606	snoRNA	
URS00001696A6	SNODB	56	9606	snoRNA	
URS0000180559	SNODB	58	9606	scaRNA	
URS0000185C0B	SNODB	60	9606	snoRNA	
URS000019135F	SNODB	59	9606	snoRNA	
URS0000196CD1	SNODB	62	9606	snoRNA	
URS0000197BB5	SNODB	63	9606	snoRNA	
URS00001B2620	SNODB	61	9606	scaRNA	
URS00001BD443	SNODB	65	9606	snoRNA	
URS00001C12A7	SNODB	64	9606	snoRNA	
URS00001D3737	SNODB	66	9606	snoRNA	
URS00001FC3CF	SNODB	67	9606	snoRNA	
URS00001FCA45	SNODB	69	9606	snoRNA	
URS0000202A89	SNODB	68	9606	snoRNA	
URS000020C605	SNODB	70	9606	snoRNA	
URS0000210FD6	SNODB	71	9606	snoRNA	
URS0000211ABF	SNODB	72	9606	snoRNA	
URS0000215639	SNODB	73	9606	snoRNA	
URS0000215639	SNODB	74	9606	snoRNA	
URS000021BC29	SNODB	75	9606	scaRNA	
URS000022BCB9	SNODB	77	9606	snoRNA	
URS000022C1CA	SNODB	76	9606	snoRNA	
