URS00000011DF	TARBASE	hsa-miR-660-3p	9606	miRNA	
URS0000004CA3	TARBASE	hsa-miR-4429	9606	miRNA	
URS0000007170	TARBASE	mmu-miR-676-3p	10090	miRNA	
URS0000007FBA	TARBASE	hsa-miR-340-5p	9606	miRNA	
URS0000007FBA	TARBASE	mmu-miR-340-5p	10090	miRNA	
URS000000B1C9	TARBASE	hsa-let-7e-5p	9606	miRNA	
URS000000B1C9	TARBASE	mmu-let-7e-5p	10090	miRNA	
URS000000E601	TARBASE	hsa-miR-520f-3p	9606	miRNA	
URS000000EF0B	TARBASE	hsa-miR-4446-3p	9606	miRNA	
URS0000010C72	TARBASE	hsa-miR-320d	9606	miRNA	
URS0000010D30	TARBASE	hsa-miR-320c	9606	miRNA	
URS0000011312	TARBASE	mmu-miR-503-3p	10090	miRNA	
URS0000013DD8	TARBASE	hsa-miR-652-3p	9606	miRNA	
URS0000013DD8	TARBASE	mmu-miR-652-3p	10090	miRNA	
URS00000157F5	TARBASE	hsa-let-7a-2-3p	9606	miRNA	
URS000001C659	TARBASE	hsa-miR-135b-5p	9606	miRNA	
URS000001C659	TARBASE	mmu-miR-135b-5p	10090	miRNA	
URS000002103A	TARBASE	hsa-miR-1296-5p	9606	miRNA	
URS0000021B51	TARBASE	mmu-miR-155-5p	10090	miRNA	
URS0000021D08	TARBASE	hsa-miR-520g-3p	9606	miRNA	
URS0000024ACC	TARBASE	hsa-miR-518a-3p	9606	miRNA	
URS00000254A6	TARBASE	hsa-miR-338-3p	9606	miRNA	
URS00000254A6	TARBASE	mmu-miR-338-3p	10090	miRNA	
URS0000026A1D	TARBASE	hsa-miR-1269a	9606	miRNA	
URS0000028BB8	TARBASE	hsa-miR-132-5p	9606	miRNA	
URS0000029EBD	TARBASE	hsa-miR-199b-5p	9606	miRNA	
URS000002CF68	TARBASE	hsa-miR-4791	9606	miRNA	
URS000002D005	TARBASE	hsa-miR-4789-5p	9606	miRNA	
URS00000350B4	TARBASE	mmu-miR-376c-3p	10090	miRNA	
URS000003575B	TARBASE	hsa-miR-483-5p	9606	miRNA	
URS00000386E7	TARBASE	mmu-miR-872-5p	10090	miRNA	
URS00000393C7	TARBASE	hsa-miR-3691-5p	9606	miRNA	
URS000003ABC4	TARBASE	hsa-miR-26b-3p	9606	miRNA	
URS000003B660	TARBASE	hsa-miR-518c-5p	9606	miRNA	
URS000003E1A9	TARBASE	hsa-miR-141-3p	9606	miRNA	
URS000003E1A9	TARBASE	mmu-miR-141-3p	10090	miRNA	
URS000003F252	TARBASE	hsa-miR-181a-3p	9606	miRNA	
URS000003FD55	TARBASE	hsa-miR-339-5p	9606	miRNA	
URS000003FD55	TARBASE	mmu-miR-339-5p	10090	miRNA	
URS000004203C	TARBASE	hsa-miR-944	9606	miRNA	
URS0000042E1F	TARBASE	hsa-miR-20a-3p	9606	miRNA	
URS0000043B1D	TARBASE	hsa-miR-378f	9606	miRNA	
URS00000451A1	TARBASE	hsa-miR-378a-3p	9606	miRNA	
URS0000045DBD	TARBASE	hsa-miR-3613-5p	9606	miRNA	
URS000004B7B7	TARBASE	hsa-miR-4802-3p	9606	miRNA	
URS000004F117	TARBASE	mmu-miR-144-5p	10090	miRNA	
URS000004F5D8	TARBASE	hsa-let-7a-3p	9606	miRNA	
URS0000051137	TARBASE	mmu-miR-29b-1-5p	10090	miRNA	
URS000005481D	TARBASE	hsa-miR-324-5p	9606	miRNA	
URS000005481D	TARBASE	mmu-miR-324-5p	10090	miRNA	
URS00000565C2	TARBASE	mmu-miR-322-3p	10090	miRNA	
URS0000057A7C	TARBASE	hsa-miR-1248	9606	miRNA	
URS000005A8ED	TARBASE	hsa-miR-495-3p	9606	miRNA	
URS000005CF5F	TARBASE	hsa-miR-30d-5p	9606	miRNA	
URS000005CF5F	TARBASE	mmu-miR-30d-5p	10090	miRNA	
URS000005D4F5	TARBASE	hsa-miR-345-5p	9606	miRNA	
URS000005E7DD	TARBASE	hsa-miR-516b-5p	9606	miRNA	
URS0000062B37	TARBASE	hsa-miR-512-5p	9606	miRNA	
URS000006372A	TARBASE	hsa-miR-485-3p	9606	miRNA	
URS0000064E13	TARBASE	hsa-miR-4782-3p	9606	miRNA	
URS0000065566	TARBASE	hsa-miR-194-3p	9606	miRNA	
URS0000065566	TARBASE	mmu-miR-194-2-3p	10090	miRNA	
URS0000065D58	TARBASE	hsa-miR-30a-3p	9606	miRNA	
URS0000065D58	TARBASE	mmu-miR-30a-3p	10090	miRNA	
URS00000661A7	TARBASE	mmu-miR-101c	10090	miRNA	
URS0000068B85	TARBASE	hsa-miR-153-3p	9606	miRNA	
URS0000068B85	TARBASE	mmu-miR-153-3p	10090	miRNA	
URS0000068BEA	TARBASE	hsa-miR-518a-5p	9606	miRNA	
URS0000068BEA	TARBASE	hsa-miR-527	9606	miRNA	
URS000006983A	TARBASE	hsa-miR-4701-3p	9606	miRNA	
URS000006B702	TARBASE	hsa-miR-3140-3p	9606	miRNA	
URS000006F90B	TARBASE	hsa-miR-3609	9606	miRNA	
URS000006FDD4	TARBASE	hsa-miR-19a-3p	9606	miRNA	
URS000006FDD4	TARBASE	mmu-miR-19a-3p	10090	miRNA	
URS0000070B1D	TARBASE	hsa-miR-877-3p	9606	miRNA	
URS0000070CD2	TARBASE	hsa-miR-302a-3p	9606	miRNA	
URS0000070CD2	TARBASE	mmu-miR-302a-3p	10090	miRNA	
URS000007298F	TARBASE	hsa-miR-3607-5p	9606	miRNA	
URS0000072E4C	TARBASE	hsa-miR-3682-3p	9606	miRNA	
