URS00000561D6	PSICQUIC	PSICQUIC:URS00000561D6_10090	10090	lncRNA	
URS000006A0E0	PSICQUIC	PSICQUIC:URS000006A0E0_559292	559292	snoRNA	
URS00000A63E4	PSICQUIC	PSICQUIC:URS00000A63E4_8090	8090	telomerase_RNA	
URS00000DE3E2	PSICQUIC	PSICQUIC:URS00000DE3E2_9606	9606	snoRNA	
URS00000E463C	PSICQUIC	PSICQUIC:URS00000E463C_559292	559292	snoRNA	
URS00001143F5	PSICQUIC	PSICQUIC:URS00001143F5_559292	559292	snRNA	
URS000013DDAE	PSICQUIC	PSICQUIC:URS000013DDAE_559292	559292	snoRNA	
URS0000148398	PSICQUIC	PSICQUIC:URS0000148398_9606	9606	snoRNA	
URS00001F7017	PSICQUIC	PSICQUIC:URS00001F7017_559292	559292	snoRNA	
URS0000210FD6	PSICQUIC	PSICQUIC:URS0000210FD6_9606	9606	snoRNA	
URS000021BB46	PSICQUIC	PSICQUIC:URS000021BB46_559292	559292	snoRNA	
URS000034B6F5	PSICQUIC	PSICQUIC:URS000034B6F5_9606	9606	miRNA	
URS00003698EB	PSICQUIC	PSICQUIC:URS00003698EB_31033	31033	telomerase_RNA	
URS000039C168	PSICQUIC	PSICQUIC:URS000039C168_9606	9606	snRNA	
URS00003BBFC7	PSICQUIC	PSICQUIC:URS00003BBFC7_352472	352472	other	
URS00003DAD4B	PSICQUIC	PSICQUIC:URS00003DAD4B_7227	7227	lncRNA	
URS00004416C5	PSICQUIC	PSICQUIC:URS00004416C5_9606	9606	telomerase_RNA	
URS0000444F9B	PSICQUIC	PSICQUIC:URS0000444F9B_559292	559292	snoRNA	
URS0000476BE1	PSICQUIC	PSICQUIC:URS0000476BE1_10116	10116	miRNA	
URS00004943D6	PSICQUIC	PSICQUIC:URS00004943D6_559292	559292	snoRNA	
URS00004A7003	PSICQUIC	PSICQUIC:URS00004A7003_9606	9606	telomerase_RNA	
URS00005416E3	PSICQUIC	PSICQUIC:URS00005416E3_9606	9606	miRNA	
URS00005743AE	PSICQUIC	PSICQUIC:URS00005743AE_10116	10116	miRNA	
URS00005C5DAF	PSICQUIC	PSICQUIC:URS00005C5DAF_559292	559292	snoRNA	
